Name,Phone
"Huboho - Cafe & Eatery",919595202161
"222 Backyard",919284478521
"Little Owl Cafe",918668546067
"Villa 167 Cafe",917820883985
"BellaVista Cafe & Skybar",919561888601
"Three Beans, Civil Lines",919359389766
"Pablo - The Art Cafe' & Lounge",919011022226
"Matra Coffee & Kitchen",918806088066
"Nothing Before Coffee - Zenda Chowk",919999991878
"Nothing Before Coffee - Bajaj Nagar",919999993976
"Tipsy Turk",919890003172
"Penthaus Restaurant",918600048850
"Tadka House Family Garden Restaurant",918275188287
"Hitchki, Nagpur",918657983525
"UTS Under The Sky",919834444926
"Aura Restro Lounge",917066825222
"Angel's N Devil's Restro, Lounge & Bar",918856089554
"Farmhouse Kitchen Restaurant",919922522224
"Haldiram's Thaat Baat Restaurant",917030000146
"Turkish House",918446919117
"The Breakfast Story",917122234170
"Cluckers",917126605566
"The Chatori Street",919673614281
"La Farine patisserie and cafe",918806754042
"Essence Bakery & Cafe",918668568138
"Delice - Patisserie Boulangerie Chocolaterie",918899660055
"ButterBlossom",919975424240
"Anand Bakery",918806511330
"Cakes and Cookies",919552299555
"Cake Joints",919326529631
"Theobroma Bakery and Cake Shop",918182881881
"High Steaks",919307300610
"ZINQ",919822699900
"Moksh - The Restrolounge",918379000756
"Ni Hao Restaurant",917126665888
"Tao - The Asian Kitchen",918668475312
"CO.SO (Cocktails & Socials)",917070407026
"Naivedhyam Restaurant",919028049444
"Moti Mahal Delux",919356062513
"Skylite Lounge",918956650721
"THE OPERA HOUSE",919860031813
"The Palate",919373080558
"TSS - The Spirited Spot",918600030270
"The Cafe Barrel",919607300900
"Mahaba by Anand Bhandar",918007777155
"Less N More The Pasta Shop",919511619268
"Uptown501 Cafe-lounge",917758832501
"Tattwam Restaurant",918080895171
"SardaarJi Nagpur Authentic Punjabi Food",917122446644
"Meeting Point - Multi Cuisine Restaurant",919266923456
"tds Restro Lounge",918600888777
"Majestic Masala",917126653666
"Spice Theory: Fine Dining",919172166589
"OHNO",917066006622
"64 Civil Lines",919112233860
"Veggietude Restaurant Civil Lines",918327434343
"Shanti Bhavan Express",918669037853
"Sarang Maharashtrian Fine Dine Restaurant",919272167571
"Classic Indian Taste Restaurant",918308151780
"FAUXY",918806789000
"Rimzil Soda & Shakes",917249668459
"Suryakant Saoji (Savji)",919699931347
"The Biryani Elite",918483823317
"Lucknowala Restaurant",918010061007
"Udupi Gokula, Sadar",919766067778
"Fusion by the street",918855884864
"Zauq Restaurant",917757063943
"SUAA Club & Restro",917798167646
"Sky Hi Dining",919545576137
"Havana Restro",918855998628
"The Food Land Family Garden Restaurant",918788798101
"Gabbar Da Dhaba/Food Hub",919258300500
"Whistling Woods Nagpur",917276283335
"Singh Saab",919623036000
"The Rajkamal Mess & Restaurant Hingna road",917058911111
"Pohewala Hingna",918888843354
"River Edge Restaurant and Club",917888004400
"Infinity Restro & Lounge",918550999074
"Hotel The Habitat",919822936255
"Carnival Dlite",917420817001
"PIN-CODE 36 Cafe & family restaurant",917264021101
"Aangan Gajali Family Restaurant",919623097999
"Aishwaryam Restaurant",918208659487
"Restro Golden Dine",917767855599
"The Lalamama Brewing Company",919168113732
"Pind and Pepper",917083754718
"Om Shakti Saoji Bhojnalaya & Family Restaurant",917028442888
"Epicure Food Plaza",918793486690
"Aaswad family restaurant",918830720481
"TILT Kitchen & Bar",919209911002
"Parera Coffee",918888524246
"Dali - The Art Cafe'",917066022446
"UTTARAYAN",919922729558
"La Feria cafe & multi cuisine restaurant",917083560230
"Delhi 6 Restro Cafe",919373095134
"Mughal Darbar",917127966144
"Navratna Raghav",919766655406
"DD Bistro",917218777777
"Uttar Dakshin by Naivedhyam",917875444119
"The Mangaluru Kitchen",917397962431
