Name,Phone
"Huboho - Cafe & Eatery",919595202161
"222 Backyard",919284478521
"Little Owl Cafe",918668546067
"Villa 167 Cafe",917820883985
"BellaVista Cafe & Skybar",919561888601
"Three Beans, Civil Lines",919359389766
"Pablo - The Art Cafe' & Lounge",919011022226
"Matra Coffee & Kitchen",918806088066
"Nothing Before Coffee - Zenda Chowk",919999991878
"Nothing Before Coffee - Bajaj Nagar",919999993976
"Tipsy Turk",919890003172
"Penthaus Restaurant",918600048850
"Tadka House Family Garden Restaurant",918275188287
"Hitchki, Nagpur",918657983525
"UTS Under The Sky",919834444926
"Aura Restro Lounge",917066825222
"Angel's N Devil's Restro, Lounge & Bar",918856089554
"Farmhouse Kitchen Restaurant",919922522224
"Haldiram's Thaat Baat Restaurant",917030000146
"Turkish House",918446919117
"The Breakfast Story",917122234170
"Cluckers",917126605566
"The Chatori Street",919673614281
"La Farine patisserie and cafe",918806754042
"Essence Bakery & Cafe",918668568138
"Delice - Patisserie Boulangerie Chocolaterie",918899660055
"ButterBlossom",919975424240
"Anand Bakery",918806511330
"Cakes and Cookies",919552299555
"Cake Joints",919326529631
"Theobroma Bakery and Cake Shop",918182881881
"High Steaks",919307300610
"ZINQ",919822699900
"Moksh - The Restrolounge",918379000756
"Ni Hao Restaurant",917126665888
"Tao - The Asian Kitchen",918668475312
